Status,Name,Category/Type,Teaser,Image,Influence Mapping,Collection,Language,Commissioner,Publisher,Publisher Country,Partners,Rationale (Why?),Approach (How?),Narrative,Query,Geographic Map,Timelines,Lists,Network Viz,Other  Viz,Export,Thematic Focus,Issue addressed,Keywords,Geographic Focus,Intended Impact,Target Audience,Online audience reached,Does the project have a twitter account?,Twitter Followers,Publisher's Twitter Followers (if needed),Google Page Rank,Newspasper's/Publisher's Page Rank (if applicable),Alexa Pange Rank,Newspaper's / Publisher's Alexa Page Rank (if applicable),OSE Domain Authority Rank,Marketing Grader Rank,Comments,News source,Offline Audience Reached,Outcome,Update date,Attempts against the project ,Attempts against the project #2,URL,Code URL,Description,Tool,Tool,Tool,Other tools,Team Size,Research,Data Science,Engineering,Design,Project Methodology,Open Source,Open data,Budget,Contracting,Risk Planning,Sustainability Planning,Data Modeling,Ethical Collection,Ethical storage,Data collection,Data Collection #2,Data verification,Data cleaning,Data Analysis,Data Description,Data Licencing,Ethical publishing,Ethical publishing #2,Data Publishing Mode,1,URL,2,URL,3,URL,,,,,Most recent update,Regularly Updated,,,,,Notes,Alternate News Sources,,
For Review Kat,The Proxy Platform,Investigation ,,N/A,Yes,Single,English,OCCRP,OCCRP,,"OCCRP, Novaya Gazeta, The Serbian Center for Investigative Journalism, Kyiv Post, The Baltic Center for Investigative Journalism",,Visualizing networks of people and sharing stories about a laundering machine for organized crime and corrupt politicians.,Yes,,,,Yes,Yes,,,Exposure,Tracking corruption,"Easter Europe, tracking crime, journalism, ",Eastern Europe,N/A,N/A,International,No,,4371,4,,"2,238,416",,,,,,,N/A,19/10/2015,N/A,,https://www.occrp.org/en/projects,,A investigative project powered by OCCRP which reveals through visualizations and details with stories how the laundering activities of corrupted politicians and criminals prospered throughout Eastern Europe.,,,,,Large,Dedicated,Some,Some,Dedicated,Traditional,No,No,N/A,N/A,No planning,No planning,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,,No,,,,,,,,Final Product,2011,2011,2012,not anymore,56,37,56,66%,,,,
For Review Kat,They Rule,Who's who,They Rule aims to provide a glimpse of some of the relationships of the US ruling class.,http://theyrule.net/drupal/sites/theyrule.net.drupal/files/tr_theme_logo.png,Yes,Single,English,,LittleSis?,US,Littlesis,,They Rule exposes the networks of powers by displaying and enabling people to map the social relationships between entities and elite powers.,,"Yes
",,,Yes,Yes,,,Exposure,,"viz, power structures, relationships, ","US
",N/A,,N/A,No,,,5,,"2,043,453",,,39/100,,,N/A,N/A,19/10/2015,N/A,,http://www.theyrule.net,,They Rule aims to provide a glimpse of some of the relationships of the US ruling class.,,,,,Medium,Some,None,Outsourced,Some,Agile,No,No,N/A,N/A,No planning,No planning,Relational,No guidelines,N/A,External Sources,,Spot Check,N/A,Simple,No,Restricted,N/A,,Scrapable,,,,,,,,Final Product,2001,2001,2011,not anymore,56,37,56,66%,,,,
For Review Kat,China's African spending spree,Investigation ,"Take a tour of the dams, stadiums, mines and super-highways financed, sometimes controversially, by Beijing",N/A,Yes,Single,English,Al Jazeera,Al Jazeera,Qatar,J++,,Mapping the spendings of China in Africa to reveal how China's soft powers are developping strongly in the region.,Yes,,Yes,,,,Yes,,Exposure,Tracking economic diplomacy,"journalism, financial flows, Africa, China, geodata, viz",Africa,Awareness Raising,General Public,International,No,,,,,,,,,,,International,N/A,19/10/2015,N/A,,http://www.aljazeera.com/indepth/interactive/2014/03/interactive-china-african-spending-spree-2014320121349799136.html,,This projects maps Chinese funded projects from mines to research centers on the whole African continent.,,,,,Small,Dedicated,None,Some,Some,Traditional,No,No,N/A,N/A,No planning,No planning,Documents,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Simple,No,Restricted,N/A,,No,,,,,,,,Final Product,2015,2015,2015,not anymore,56,38,56,68%,,,,
For Review Kat,Open Corporates Financial Visualizations,Geocoded data,How Complex are corporate structures?,N/A,Maybe,Single,English,,Open Corporates,UK,,,"Mapping and visualizing the structure of worlwide corporate entities to track the , built using Open Corporates. ",,,Yes,,Yes,,Yes,,Finance,,"financial flows, geodata, open corporates, viz, finance tracking ",World,Research,Expert Audience,International,No,,3349,5,6,"34,328","34,328",,N/A,,5,International,N/A,19/10/2015,N/A,,https://opencorporates.com/viz/financial/index.html,,Map corporate structures around the globe,,,,,Small,None,Dedicated,Some,Dedicated,N/A,Yes,Yes,N/A,N/A,No planning,No planning,Complex,No guidelines,N/A,External Sources,,Spot Check,N/A,Classification / Tagging / Categories / Linking,Machine Readable,Open,Signed project,,API,Data Management,https://opencorporates.com/info/licence,Data Publishing,http://api.opencorporates.com/,,,,Final Product,2010,2010,2015,yes,64,36,56,64%,,,,
For Review Kat,Follow The Money ,Data provider,"The nation's only free, nonpartisan, verifiable archive of contributions to political campaigns in all 50 states. ",N/A,Yes,Single,English,National Institute on Money in State Politic,,US,"The Bauman Foundation, The California Endowment, Carnegie Corporation of New York, Energy Foundation, Ford Foundation, The James Irvine Foundation, Knight Prototype Fund, Mac Arthur Foundation, Robert Mc Cormick Foundation, Mertz Gilmore Foundation, Open Society Foundations, Rockfeller Family Fund, Rockfeller Brothers fund, Sunlight Foundation ",,Listing and tracking all the money which has been raised during electoral campaigns in the US.,Yes,Yes,,,Yes,,,,Politics,Tracking corruption and clientelism,"US, corporate interests, lobbying, campaign financing, finance tracking, elections",US,N/A,Broad Professional/Sectoral,International,,,,,,,,,,,,National,N/A,19/10/2015,N/A,,http://www.followthemoney.org,,Archive of contributions to political campaigns in all 50 states.,,,,,Large,Dedicated,Dedicated,Dedicated,Some,Traditional,Yes,No,N/A,N/A,No planning,No planning,List,No guidelines,N/A,External Sources,,Corroborated,Validation,Simple,Basic,N/A,Cited Sources,Signed project,API,Data Publishing,http://followthemoney.org/our-data/apis/,,,,,,Final Product,2013,2013,2015,yes,57,38,56,68%,,,,
For Review Kat,Dollars for Docs,Data provider,How Industry Dollars Reach Your Doctors,N/A,Yes,Single,English,,Pro Publica,US,,,Listing and tracking all the money spent on doctors by big drug compagnies and how it might influence them and their services.,Yes,Yes,,,Yes,,,,Health,Tracking corruption and clientelism,"US, corporate interests, health, doctors, pro publica",US,Awareness Raising,General Public,International,,,,,,,,,,,,National,N/A,22/10/2015,N/A,,https://projects.propublica.org/docdollars/,,"Pharmaceutical and medical device companies are now required by law to release details of their payments to a variety of doctors and U.S. teaching hospitals for promotional talks, research and consulting, among other categories. ",,,,,Medium,Dedicated,Some,Some,Dedicated,Agile,No,No,N/A,N/A,No planning,No planning,List,No guidelines,N/A,External Sources,,Corroborated,N/A,Classification / Tagging / Categories / Linking,Basic,Restricted,Cited Sources,Signed project,Scrapable,,,,,,,,Final Product,2013,2013,2015,N/A,54,37,56,66%,,,,
For Review Kat,NSA Lawsuit tracking,Data provider,N/A,N/A,Maybe,Single,English,,Pro Publica,US,,,Documenting each lawsuit agaisnt the NSA's system of surveillance in the US.,Yes,,,,,,,,Justice,Tracking legal action against the NSA surveillance's system  ,"surveillance, justice, US, lawsuits, NSA, pro publica, journalism ",US,N/A,General Public,International,,,,,,,,,,,,International,N/A,22/10/2015,N/A,,http://projects.propublica.org/graphics/surveillance-suits,,Rundown of key lawsuits about surveillance by the NSA in the US.,,,,,Small,Some,None,None,Some,Agile,No,No,N/A,N/A,No planning,No planning,List,No guidelines,N/A,Trained Collectors,,Corroborated,N/A,Simple,Basic,Restricted,Signed project,,Scrapable,,,,,,,,Final Product,2013,2013,2015,yes,51,36,56,64%,,,,
For Review Kat,"Non Profit Explorer
",Data provider,Research Tax-Exempt Organizations,N/A,Yes,Single,English,,Pro Publica,US,,,Building a database on non-profit's financial details to better investigate them ,,Yes,,,Yes,,,Yes,Lobbying,Tracking ,"non profit, financial information, US, propublica, journalism, ",US,N/A,Broad Professional/Sectoral,International,,,,,,,,,,,,National,N/A,22/10/2015,N/A,,https://projects.propublica.org/nonprofits/,,Use this database to search over 1.8 million tax returns from tax-exempt organizations and see financial details such as their executive compensation and revenue and expenses. ,,,,,Small,Some,None,None,Some,Traditional,No,No,N/A,N/A,No planning,No planning,List,No guidelines,N/A,External Sources,,Spot Check,N/A,Simple,Basic,Public,Cited Sources,,API,,,,,,,,Final Product,2012,2012,2015,yes,53,36,56,64%,,,,
For Review Kat,Boletin Oficial,Data provider,Encontrá datos sobre la formación de empresas y contrataciones del Estado publicadas en el Boletín Oficial de la República Argentina,http://boletinoficial.info/img/logo.png,Maybe,Single,English,,Boletin Oficial,Argentina,ICIJ,,Building a database using the Argentinian official journal entries which cover the partnerships and contracts made with corporate entities.,,Yes,,,Yes,,,,Exposure,Tracking public private partnerships,"database, boletin oficial, argentina, legal information, ","Argentina
",N/A,Broad Professional/Sectoral,Large Network,,,,,,,,,,,,National,N/A,22/10/2015,N/A,,http://boletinoficial.info/index.php,,Database listing all the official published documents within the Argentinian official journal,,,,,Small,Some,None,Some,Some,Traditional,No,No,N/A,N/A,No planning,No planning,Documents,No guidelines,N/A,External Sources,Trained Collectors,Spot Check,N/A,Simple,Basic,Partial,Cited Sources,Signed project,Scrapable,,,,,,,,Beta Version,2015,2015,2015,yes,55,39,56,70%,,,,
For Review Kat,InfoAmazonia,Data provider,N/A,N/A,No,Single,English,,,,"Oecoamazonia, ICFJ, Skoll Foundation, Internews, Avina CDKN",,Infoamazonia is a database of maps and a participatory project between citizens and journalists to share information about deforestation and environmental impact.,Yes,,Yes,,Yes,,,Yes,Environment,Track the Amazonian region,"environment, Amazonia, Amazonian forest, Infoamazonia, maps, infoviz, crowdsourcing, database",Amazonic region,Movement Building,Broad Professional/Sectoral,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://infoamazonia.org/en,https://github.com/oeco/infoamazonia-maps,InfoAmazonia provides timely news and reports of the endangered Amazon region.,,,,,Medium,Dedicated,Dedicated,Outsourced,Dedicated,Traditional,No,No,N/A,N/A,No planning,No planning,Complex,No guidelines,N/A,Trained Collectors,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Signed project,Anonymization of datasets ,Dump,,,,,,,,Final Product,2012,N/A,2015,yes,53,36,56,64%,,,,
For Review Kat,Siyazana,Data provider,We know each other,N/A,Yes,Single,English,,,South Africa,"Institute for Security Studies, African Network of Centers for Investigative Reporting, International Center for Journalists.",,Draws connections between corporate entities and politicians in South Africa by providing lists of connections.,,,,,Yes,,,,Exposure,,"database, politics, corporations, south africa, grano, ",South Africa,Awareness Raising,,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://siyazana.co.za/,https://github.com/ANCIR/siyazana.co.za/tree/master/data,"Siyazana provides users with a tool to investigate the connections that exist between the private and public spheres in South Africa. Specifically, it provides a unique insight into the financial connectivities that can, and often do, determine how, when, and why money is expended by government.",,,,,N/A,Dedicated,Dedicated,Dedicated,Dedicated,N/A,Yes,No,N/A,N/A,No,No planning,Relational,No guidelines,N/A,Trained Collectors,External Sources,Corroborated,N/A,Graph,Basic,Public,Cited Sources,,Scrapable,,,,,,,,Final Product,N/A,N/A,N/A,yes,49,37,56,66%,,,,
For Review Kat,DOLFINS,N/A,N/A,N/A,No,Single,English,EU funded project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://www.dolfinsproject.eu/index.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,56,4%,,,,
For Review Kat,GLODERS,N/A,N/A,N/A,Maybe,Single,English,EU funded project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://www.gloders.eu/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,56,4%,,,,
For Review Kat,EurActory,Who's who,Identify relevant experts for better EU Policy,http://euractory.eucommunity.eu/sites/default/files/logo-beta.png,Maybe,Single,English,EU funded project,EU Community,European Project,"Intrasoft International ; Fondation EurActiv PoliTech ; University of Aegean ; EurActiv.com ; Athens Technology center ; I-Europa.sk ; Fraunhofer IGD ;
Universitat Oberta de Catalunya .",,build a list of actors and experts on european issues ,,Yes,,,Yes,,,,Exposure,Lack of transparency of EU institutions and EU expertises,"database, politics, Europe, European community, european experts,",Europe,Policy Advice,Broad Professional/Sectoral,Large Network,,,,,,,,,,,,N/A,N/A,22/10/2015,N/A,,http://euractory.eucommunity.eu/,,"EurActory is a new and free service, developed by EU Community. EurActory scans the growing amount of information about people involved in EU policy making. It analyses and ranks the information, identifying the relevant experts.

",,,,,,Dedicated,Dedicated,Dedicated,Dedicated,Agile,No,No,N/A,N/A,No planning,No planning,List,N/A,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,No,Restricted,Signed project,Not documented,Scrapable,,,,,,,,Beta version,,2015,2015,yes,53,37,56,66%,,,,
For Review Kat,"No Ceilings
",Data provider,N/A,N/A,No,Single,English,Bill and Melinda Gates Foundation,,US,"Clinton Foundation, the Wyss Foundation, Cheryl Saban Self-Worth Foundation for Women and Girls,  Corning, and the Leslois Shaw Foundation, Droga5, The Economist Intelligence Unit, Fathom, ",,build a repository of data tackling gender equality in the world,yes,,yes,,,,,yes,Gender equality,,,World,,,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://noceilings.org/,https://github.com/fathominfo/noceilings-data,"This site and The Full Participation Report are the result—home to 850,000 data points, spanning more than 20 years, from over 190 countries. Through data visualizations and stories, we aim to present the gains and gaps in understandable, sharable ways—including by making the data open and easily available.",,,,,Large,Outsourced,Dedicated,Dedicated,Outsourced,Traditional,No,No,N/A,N/A,N/A,N/A,Documents,N/A,,External Sources,Trained Collectors,Triangulated,N/A,N/A,Basic,Public,Cited Sources,Signed project,Dump,,,,,,,,Final Product,,2015,2015,no,49,36,56,64%,,,,
For Review Kat,ActionAid/DueDil Tax Haven Tracker,Data provider,N/A,N/A,Yes,Single,English,Action Aid,Action Aid,UK,,,build a map to track tax havens all over the world,,,yes,,Yes,,,Yes,Finance,Tracking tax havens,"database, map, tax havens, Action Aid, world, advocacy",World,Movement Building,Broad Professional/Sectoral,International,,,,,,,,,,,,,The project itself was part of a bigger advocacy campaign which had positive consequences to forbid tax dodging in several developing countries. ,22/10/2015,N/A,,http://www.actionaid.org.uk/campaign/ftse-100-tax-haven-tracker,,"98% of the UK's biggest businesses are using tax havens, where you'll find 8,492 of their overseas companies. One of the main reasons companies use tax havens is to dodge their taxes. Ordinary people lose out in both poor and rich countries.",,,,,N/A,Dedicated,Dedicated,Dedicated,Dedicated,Agile,No,No,N/A,N/A,N/A,N/A,Documents,N/A,N/A,External Sources,Trained Collectors,N/A,N/A,N/A,N/A,Public,Signed project,"
",Dump,Project Management,http://www.actionaid.org.uk/tax-justice/ftse-100-tax-haven-tracker-the-new-data,,,,,,Final Product,2011,2013,?,yes,57,39,56,70%,,,,
For Review Kat,OpenCorporates,Data provider,The largest open database of companies in the world ,N/A,Yes,Single,English,?,?,UK,,,build an open database of all the corporations in the world,,yes,,,yes,,,yes,Finance,,"database, corporate interests, open corporates, world, ",World,Research,Broad Professional/Sectoral,International,,,,,,,,,,,,,N/A,22/10/2015,N/A,,"
http://opencorporates.com/",,"OpenCorporates exists to make information about companies and the corporate world more accessible, more discoverable, and more usable, and thus give citizens, community groups, journalists, other companies, and society as a whole the ability to understand, monitor and regulate them. ",,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,N/A,Yes,Yes,N/A,N/A,N/A,N/A,List,N/A,N/A,Trained Collectors,,Corroborated,N/A,Classification / Tagging / Categories / Linking,N/A,Open,Signed project,,API,Data Publishing,https://opencorporates.com/info/licence,,,,,,Final Product,?,?,2015,yes,54,37,56,66%,,,,
For Review Kat,OpenInterests,Data provider,Who has financial or political interests in the European institutions? ,N/A,Yes,Single,English,,,,"Corporate Europe Observatory (CEO), Friends of the Earth Europe (FoEE) and LobbyControl, OKFN Labs and Knight-Mozilla OpenNews",,build a database of all the actors around the European Institutions,,yes,,,yes,,,yes,Lobbying,,"database, lobbying, european institutions, corporate interests, transparency, Europe, ",Europe,Awareness Raising,Broad Professional/Sectoral,Large Network,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://www.openinterests.eu/,https://github.com/pudo/openinterests.eu,"OpenInterests catalogues actors involved in lobbying, expert groups, public expenditure and procurement so you can explore the interactions between them.",,,,,Medium,Some,Dedicated,Dedicated,Dedicated,Traditional,Yes,Yes,N/A,N/A,N/A,N/A,List,N/A,N/A,External Sources,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Cited Sources,Signed project,Dump,,,,,,,,Final Product,2013,2013,2013?,no,52,36,56,64%,,,,
For Review Kat,Corpwatch Croctail,Data provider,Information about corporations and their subsidiaries,N/A,Yes,Single,English,Sunlight Foundation,,US,,,forming a database to browse between documents about subsidiaries and US traded corporations,,yes,yes,,yes,,,yes,Finance,,"database, map, ",World,,Broad Professional/Sectoral,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://croctail.corpwatch.org/,,CrocTail provides an interface for browsing information parsed from SEC filings about several hundred thousand U.S. publicly traded corporations and their foreign subsidiaries.,,,,,Small,Some,Dedicated,Outsourced,Outsourced,Traditional,Yes,No,N/A,N/A,N/A,N/A,List,N/A,,External Sources,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Signed project,Cited Sources,Dump,,,,,,,,Final Product,2003?,?,?,?,50,36,56,64%,,,,
For Review Kat,Every Politician,Data provider,Find representatives from your country,N/A,No,Single,English,,My Society,UK,,"Because this resource doesn’t yet exist. And it would be incredibly useful, for a huge number of people and organisations all around the world.",forming a database of representatives all over the world,,yes,yes,,yes,,,yes,Politics,,"database, world, Mysociety, MPs. representatives, politics, representatives, ",World,Awareness Raising,General Public,International,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://everypolitician.org/,,"it’s a simple but ambitious project to collect and share that data, in a consistent, open format that anyone can use.",,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,Yes,Yes,N/A,N/A,N/A,N/A,List,N/A,N/A,Trained Collectors,Crowdsourced,N/A,N/A,Classification / Tagging / Categories / Linking,Machine Readable,Public,Signed project,,Dump,Data Management,http://everypolitician.org/data_structure.html,,,,,,Final Product,?,?,2015,yes,56,38,56,68%,,,,
For Review Kat,"
African Open Data",Data provider,Africa's largest independent source for open data.,N/A,No,Single,English,,,,"Google, Code for Africa, ICIJ, Open Knowledge, World Bank Group, ",,build a repository of open data focusing solely on the African continent.,,yes,,,yes,,,yes,Politics,,"database, Africa, open data, ",African continent,Research,General Public,International,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://africaopendata.org/,,"openAFRICA aims to be largest independent repository of open data on the African continent. openAFRICA is not a government portal. It is instead a grassroots initiative, maintained by Code for Africa as a public service. The platform is therefore available as a free resource for ordinary citizens, civil society organisations, civic activists, the media, and government agencies. ",,,,,N/A,Dedicated,Dedicated,Dedicated,Dedicated,Agile,No,Yes,N/A,N/A,N/A,N/A,Documents,Guidelines,N/A,External Sources,Crowdsourced,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Open,Anonymization of datasets ,Signed project,API,,,,,,,,Beta version,?,?,2015,yes,52,37,56,66%,,,,
For Review Kat,ICIJ  Off Shore Leaks,Investigation ,Secrecy for Sale: Inside the Global Offshore Money Maze,N/A,Yes,Single,English,,ICFJ,US,"The Center for Public Integrity, ICIJ",,"build a database where all the secret compagnies, trusts and funds are listed and can be freely accessible to the public",yes,yes,,,yes,,,yes,Finance,,"database, tax havens, offshore leaks, finance, world, ICIJ, ",World,Awareness Raising,General Public,International,,,,,,,,,,,,International,N/A,22/10/2015,N/A,,http://offshoreleaks.icij.org/search,,"The database contains ownership information about companies created in 10 offshore jurisdictions including the British Virgin Islands, the Cook Islands and Singapore. It covers nearly 30 years until 2010.",,,,,Large,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,No,No,N/A,N/A,N/A,N/A,Relational,N/A,N/A,Trained Collectors,,N/A,N/A,Classification / Tagging / Categories / Linking,N/A,Public,Anonymization of datasets ,Signed project,Dump,,,,,,,,Final Product,?,?,2010?,no,55,38,56,68%,,,,
For Review Kat,Open Oil Corporate Networks,N/A,Imagine an open oil industry,N/A,Yes,Single,English,,,US?,,,build a reference website where ressources on oil contracts can be found but also specific investigations are available to explore.,yes,yes,,,yes,,,yes,Extractives,Tracking the oil industry,"oil contracts, open oil, extractives, database, investigations, repository ",World,Awareness Raising,Broad Professional/Sectoral,International,,,,,,,,,,,,International,N/A,22/10/2015,N/A,,http://openoil.net/corporate-networks/,,"OpenOil was founded in the belief that creative, practical and socially progressive policy making in the oil and gas industries is both vital to our collective future, and possible within current constraints.",,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,Agile,Yes,No,N/A,N/A,N/A,N/A,Documents,N/A,N/A,Trained Collectors,External Sources,Corroborated,N/A,Classification / Tagging / Categories / Linking,N/A,Open,Cited Sources,Signed project,API,,,,,,,,Final Product,,,2015,yes,53,35,56,63%,,,,
For Review Kat,InfluenceMap,Investigation ,Measuring corporate influence on climate policy,,Yes,Single,English,,Influence Map,UK,,,build a map and a ranking system of corporate influence in environmental policy,yes,,,,yes,,,,Environment,Exposing corporate influence in climate policy,"ranking, influencemap, corporate influence, greenwashing, database, ",UK,Movement Building,Broad Professional/Sectoral,N/A,,,,,,,,,,,,,N/A,22/10/2015,N/A,,influencemap.org,,"We are a neutral and independent UK-based non-profit whose remit is to map, analyze and score the extent to which corporations are influencing climate policy and legislation worldwide. ",,,,,Medium,Dedicated,Dedicated,Dedicated,Dedicated,Traditional,,,N/A,N/A,N/A,N/A,List,Guidelines,N/A,External Sources,,N/A,N/A,Classification / Tagging / Categories / Linking,Basic,Public,Cited Sources,Signed project,Scrapable,Data Analysis,http://influencemap.org/page/Our-Methodology#Assessment-de8396f64bf67ca12de3402ebc0f86a2,,,,,,Final Product,,,2015,yes,49,33,56,59%,,,,
For Review Kat,K-Monitor,Data provider,"Korrupció, Közpénz, Közbeszerzés, Kartell",N/A,Yes,Single,Hungarian,Open Society Institute,K-Monitor,Hungary,"Tasz, Transparency International, Trust for Civil Society in Central and Eastern Europe, Open Society Foundation",,build a database of news tracking corruption and public funds transfers ,,yes,,,,,,,,,"corruption, Hungary, news database, K Monitor, tracking, public spendings",Hungary,Awareness Raising,General Public,National,Yes,,,,,,,,,,,,N/A,22/10/2015,N/A,,https://www.k-monitor.ru,,"K-Monitor is an anti-corruption grass root NGO founded in 2007. K-Monitor strives against corruption and promotes the transparency of public spending in Hungary. K-Monitor operates open data websites, conducts research and advocates for legal reform.  With the contribution of our researches, analyses and recommendations, we aim to challenge and overcome the social indifference to corruption, to raise awareness and disseminate knowledge. We truly believe that information technology can contribute to a more open, more transparent and more democratic way of governing. Therefore K-Monitor develops databases and online tools by which public expenses become trackable, and decision makers can be hold accountable.",,,,,,Dedicated,Some,Dedicated,Some,N/A,Yes,No,N/A,N/A,N/A,N/A,List,Informal guidelines,N/A,External Sources,,N/A,N/A,Classification / Tagging / Categories / Linking,Basic,N/A,,N/A,Scrapable,,,,,,,,Final Product,2007,,2015,yes,49,35,56,63%,,,,
For Review Kat,News Mapper,Data provider,Mapping Entities using the Scrapping data from many news sites in Chile,N/A,No,Single,English/Spanish,,Poderopedia,Chile,,,"scanning news with a scraper to document the entities structure of corporation in Chile
 ",,yes,,,yes,,,,,,"scraped data, Chile, Poderopedia, ",Chile ,Awareness Raising,General Public,Confidential,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://juaneduardohv.pythonanywhere.com/svs_mapper/news,,Scraping data from news to track political decisions and map entities,,,,,One person,Some,Some,Some,Some,N/A,No,No,N/A,N/A,N/A,N/A,List,N/A,N/A,External Sources,,N/A,N/A,Simple,Basic,N/A,N/A,N/A,Scrapable,,,,,,,,Beta project,,,2015?,yes,48,34,56,61%,,,,
For Review Kat,LittleSis,Data provider,LittleSis is a free database of who-knows-who at the heights of business and government,,Yes,Single,English,Public Accoutability Initiative,LittleSis,US,,,"LittleSis is a repository and a platform for projects, investigations and network visualizations of all kinds to expose influential networks. ",,yes,yes,,yes,yes,yes,,Exposure,,"LittleSis, database, ",World,Awareness Raising,Broad Professional/Sectoral,International,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://littlesis.org/,,LittleSis is a free database detailing the connections between powerful people and organizations.,,,,,N/A,Outsourced,Dedicated,Dedicated,N/A,N/A,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,,External Sources,,N/A,N/A,N/A,N/A,N/A,Signed project,,API,,,,,,,,Final Product,2008,?,2015,yes,52,36,56,64%,,,,
For Review Kat,DueDil,Data provider,N/A,N/A,Maybe,Single,English,,,,UK,,build a database on private companies,,yes,,,yes,,,yes,,,,World,N/A,Broad Professional/Sectoral,International,,,,,,,,,,,,,N/A,22/10/2015,N/A,,https://www.duedil.com/,,"DueDil is a private company research tool for B2B lead generation and risk management
",,,,,Medium,None,N/A,Dedicated,Dedicated,N/A,No,No,N/A,N/A,N/A,N/A,Complex,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,Restricted,Not documented,,API,,,,,,,,Final Product,,,2015,yes,46,31,56,55%,,,,
For Review Kat,Mapa de Medios,Who's who,Descubre quién es quién en la Industria de medios de Chile y Colombia.,N/A,Yes,Collection,Spanish,Open Society Foundation,Poderopedia,Chile,"Poderopedia Colombia, Poderopedia Chile, Consejo de Redacción",,Listing all the media ,yes,yes,,,yes,,,yes,Media,,"Poderopedia, Chile, Colombia, media, ownership, database, relationships",Chile and Colombia,Awareness Raising,Broad Professional/Sectoral,Large Network,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://apps.poderopedia.org/mapademedios/index/,https://github.com/poderomedia/mapa-de-medios,"El Mapa de Medios es una base de datos de los medios de comunicación de Chile y Colombia. y de sus propietarios. Incluye cuales son los grandes grupos de medios y propietarios de medios de cada país, más las leyes y fuentes de investigación usadas para construir esta aplicación.",,,,,Medium,Dedicated,Some,Some,Dedicated,Traditional,yes,yes,N/A,N/A,No planning,N/A,List,Guidelines,N/A,Trained Collectors,Crowdsourced,Corroborated,N/A,Classification / Tagging / Categories / Linking,N/A,Open,Cited Sources,Signed project,Dump,Data Management,https://github.com/poderomedia/mapa-de-medios,Data Publishing,http://apps.poderopedia.org/mapademedios/datos/,,,,Beta version,2015,2015,2015,yes,61,40,56,71%,,,,
For Review Kat,Lobbyists in Brussels - the social network,Investigation ,What the Commission’s meetings with lobbyists reveal about alliances and rivalries in Brussels.,N/A,Yes,Single,English,,Politico,US,,,social network analysis of the lobbying system in place in Brussels: who are the players? who is pulling the strings?,yes,,,,,yes,,,Lobbying,Tracking who is pulling the lobbyint strings in Brussels,"Europe, lobbying, Politico, datajournalism, social network analysis, Brussels,",Europe,Awareness Raising,,,,,,,,,,,,,,,N/A,22/10/2015,N/A,,http://www.politico.eu/interactive/lobbyists-brussels-social-network-meetings-commission-strategy/,,"A social network analysis of lobby organizations and commissioners, cabinet members and directors-general that have met at least twice between December and July. Lobbyists who appear in a star structure were invited to several meetings as a group. Commission officials and organizations at the center of the network were in touch with a wider network of policy-makers and influencers.",,,,,Small,Dedicated,Outsourced,Dedicated,Outsourced,Traditional,no,no,N/A,N/A,N/A,N/A,Relational,N/A,N/A,Trained Collectors,,Corroborated,N/A,Graph,N/A,Restricted,Signed project,,Scrapable,,,,,,,,Final Product,2015,2015,2015,no,49,36,56,64%,,,,
